"PVWatts: Hourly PV Performance Data"
"Requested Location:","san francisco"
"Location:","SAN FRANCISCO INTL AP, CA"
"Lat (deg N):","37.62"
"Long (deg W):","122.4"
"Elev (m):","2"
"DC System Size (kW):","1"
"Module Type:","Standard"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","37.8"
"Array Azimuth (deg):","180"
"System Losses:","14"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.1"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.09"
"Capacity Factor (%)","17.7"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"2","17","12","350","301","18.9","0","700.863","46.306","542.358","522.026"
"2","17","13","512","230","19.6","1","775.312","44.185","606.455","583.715"
"2","17","14","372","215","20.4","2.1","564.699","35.825","460.11","442.662"
"2","17","15","267","176","21.1","3.1","386.351","30.069","321.954","308.832"
"2","17","16","179","90","19.8","3.6","190.335","23.51","160.026","151.146"
"2","17","17","15","25","18.5","4.1","28.189","18.051","24.254","18.242"
"2","17","18","0","0","17.2","4.6","0","17.2","0","0"
"2","17","19","0","0","16.1","3.6","0","16.1","0","0"
"2","17","20","0","0","15","2.5","0","15","0","0"
"2","17","21","0","0","13.9","1.5","0","13.9","0","0"
"2","17","22","0","0","13.2","1","0","13.2","0","0"
"2","17","23","0","0","12.4","0.5","0","12.4","0","0"
"2","18","0","0","0","11.7","0","0","11.7","0","0"
"2","18","1","0","0","10.8","0.7","0","10.8","0","0"
"2","18","2","0","0","9.8","1.4","0","9.8","0","0"
"2","18","3","0","0","8.9","2.1","0","8.9","0","0"
"2","18","4","0","0","8.5","1.4","0","8.5","0","0"
"2","18","5","0","0","8.2","0.7","0","8.2","0","0"
"2","18","6","0","0","7.8","0","0","7.8","0","0"
"2","18","7","363","23","10","0.7","140.943","12.291","110.002","102.251"
"2","18","8","628","43","12.2","1.4","391.254","22.358","326.839","313.575"
"2","18","9","800","54","14.4","2.1","652.007","31.027","539.399","519.174"
"2","18","10","829","64","15.7","2.1","811.688","37.09","657.102","632.361"
"2","18","11","921","78","17","2.1","994.932","43.292","781.858","751.813"
"2","18","12","915","75","18.3","2.1","1009.793","45.393","785.122","754.931"
"2","18","13","919","72","18.3","3.8","972.284","40.141","776.322","746.524"
"2","18","14","892","63","18.3","5.5","840.7","34.017","690.389","664.284"
"2","18","15","824","51","18.3","7.2","633.065","28.153","528.945","509.098"
"2","18","16","671","37","15.7","7.5","370.015","21","305.977","293.313"
"2","18","17","225","22","13.2","7.9","94.782","13.931","73.778","66.793"
"2","18","18","0","0","10.6","8.2","0","10.6","0","0"
"2","18","19","0","0","10.4","7.5","0","10.4","0","0"
"2","18","20","0","0","10.2","6.9","0","10.2","0","0"
"2","18","21","0","0","10","6.2","0","10","0","0"
"2","18","22","0","0","9.8","5.5","0","9.8","0","0"
"2","18","23","0","0","9.6","4.8","0","9.6","0","0"
"2","19","0","0","0","9.4","4.1","0","9.4","0","0"
"2","19","1","0","0","9.4","4.1","0","9.4","0","0"
"2","19","2","0","0","9.4","4.1","0","9.4","0","0"
"2","19","3","0","0","9.4","4.1","0","9.4","0","0"
"2","19","4","0","0","9","3.6","0","9","0","0"
"2","19","5","0","0","8.7","3.1","0","8.7","0","0"
"2","19","6","0","0","8.3","2.6","0","8.3","0","0"
"2","19","7","1","18","9.1","2.8","15.853","7.607","14.696","8.862"
"2","19","8","6","88","9.8","2.9","83.065","10.073","76.308","69.271"
"2","19","9","11","144","10.6","3.1","140.07","12.455","127.482","119.346"
"2","19","10","308","190","11.7","4.3","489.964","20.909","428.966","412.549"
"2","19","11","359","219","12.8","5.5","623.469","23.791","539.138","518.923"
"2","19","12","307","282","13.9","6.7","635.29","23.974","548.961","528.387"
"2","19","13","657","159","13.7","6.7","842.127","27.191","716.517","689.316"
"2","19","14","642","141","13.5","6.7","733.835","25.442","628.323","604.729"
"2","19","15","747","68","13.3","6.7","607.224","23.031","520.173","500.641"
"2","19","16","508","53","12.4","6.2","316.84","17.45","268.143","256.53"
"2","19","17","132","27","11.5","5.7","74.311","12.014","60.694","53.974"
"2","19","18","0","0","10.6","5.2","0","10.6","0","0"
"2","19","19","0","0","10.2","4.2","0","10.2","0","0"
"2","19","20","0","0","9.8","3.1","0","9.8","0","0"
"2","19","21","0","0","9.4","2.1","0","9.4","0","0"
"2","19","22","0","0","9.2","2.3","0","9.2","0","0"
"2","19","23","0","0","9.1","2.4","0","9.1","0","0"
"2","20","0","0","0","8.9","2.6","0","8.9","0","0"
"2","20","1","0","0","8.7","2.8","0","8.7","0","0"
"2","20","2","0","0","8.5","2.9","0","8.5","0","0"
"2","20","3","0","0","8.3","3.1","0","8.3","0","0"
"2","20","4","0","0","8.9","3.1","0","8.9","0","0"
"2","20","5","0","0","9.4","3.1","0","9.4","0","0"
"2","20","6","0","0","10","3.1","0","10","0","0"
"2","20","7","4","19","10.6","2.9","17.58","9.196","16.036","10.178"
"2","20","8","75","89","11.1","2.8","133.016","12.658","119.32","111.366"
"2","20","9","32","160","11.7","2.6","181.726","14.894","163.477","154.516"
"2","20","10","5","233","11.7","2.4","224.776","16.257","201.242","191.367"
"2","20","11","4","205","11.7","2.3","192.875","15.618","173.186","163.994"
"2","20","12","5","163","11.7","2.1","152.021","14.523","137.176","128.822"
"2","20","13","7","279","11.3","3.1","273.599","16.574","244.611","233.626"
"2","20","14","3","216","11","4.2","205.787","14.468","185.73","176.236"
"2","20","15","3","86","10.6","5.2","77.452","11.042","70.95","64.022"
"2","20","16","3","82","10.6","4.2","76.349","10.848","69.943","63.036"
"2","20","17","0","23","10.6","3.1","20.055","9.499","18.504","12.6"
"2","20","18","0","0","10.6","2.1","0","10.6","0","0"
"2","20","19","0","0","11","1.9","0","11","0","0"
"2","20","20","0","0","11.3","1.7","0","11.3","0","0"
"2","20","21","0","0","11.7","1.5","0","11.7","0","0"
"2","20","22","0","0","12.1","2.2","0","12.1","0","0"
"2","20","23","0","0","12.4","2.9","0","12.4","0","0"
"2","21","0","0","0","12.8","3.6","0","12.8","0","0"
"2","21","1","0","0","13.3","4.8","0","13.3","0","0"
"2","21","2","0","0","13.9","6","0","13.9","0","0"
"2","21","3","0","0","14.4","7.2","0","14.4","0","0"
"2","21","4","0","0","13.9","8.4","0","13.9","0","0"
"2","21","5","0","0","13.3","9.6","0","13.3","0","0"
"2","21","6","0","1","12.8","10.8","0.895","11.993","0.817","0"
"2","21","7","0","40","12.6","8.2","37.398","12.141","34.106","27.908"
"2","21","8","0","111","12.4","5.7","103.583","13.063","94.079","86.67"
"2","21","9","1","116","12.2","3.1","104.503","13.261","94.824","87.4"
"2","21","10","1","263","12.4","4.3","253.19","16.507","226.434","215.922"
"2","21","11","1","333","12.6","5.5","326.167","17.738","290.077","277.861"
"2","21","12","1","191","12.8","6.7","175.417","14.929","158","149.167"
"2","21","13","95","341","12.8","5.8","451.918","19.929","397.877","382.458"
"2","21","14","226","240","12.8","5","452.659","21.051","395.994","380.634"
"2","21","15","122","173","12.8","4.1","269.524","18.11","238.154","227.339"
"2","21","16","30","111","12.6","4.3","127.445","14.35","114.25","106.408"
"2","21","17","18","20","12.4","4.4","22.479","11.618","19.568","13.644"
"2","21","18","0","0","12.2","4.6","0","12.2","0","0"
"2","21","19","0","0","12","4.6","0","12","0","0"
"2","21","20","0","0","11.9","4.6","0","11.9","0","0"
"2","21","21","0","0","11.7","4.6","0","11.7","0","0"
"2","21","22","0","0","11.1","3.6","0","11.1","0","0"
