Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 01/05  22:00:00,380127877.234456,160405108.671081,0.0,57896985.8532643,53294400.,96494976.4221072,12006021.9491793,30384.3388235294,72000.,0.0,72000. 
 01/05  23:00:00,149819760.760931,0.0,0.0,19298995.2844214,53294400.,77195981.1376857,0.0,30384.3388235294,3970940.93950392,0.0,3970940.93950392 
 01/05  24:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/06  01:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,3970768.79632323,0.0,3970768.79632323 
 01/06  02:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/06  03:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,3970771.74242477,0.0,3970771.74242477 
 01/06  04:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/06  05:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/06  06:00:00,149819760.760931,0.0,0.0,19298995.2844214,53294400.,77195981.1376857,0.0,30384.3388235294,3971027.20675248,0.0,3971027.20675248 
 01/06  07:00:00,483566783.010874,321741000.300764,0.0,19298995.2844214,53294400.,77195981.1376857,12006021.9491793,30384.3388235294,3971040.03692389,0.0,3971040.03692389 
 01/06  08:00:00,468602649.815198,254367614.997784,0.0,57896985.8532643,26647200.,117654442.676147,12006021.9491793,30384.3388235294,16795095.1956982,12822184.7566971,3972910.43900108 
 01/06  09:00:00,545730185.531631,106271906.649892,0.0,173690957.559793,0.0,253451924.59276,12285012.3903631,30384.3388235294,9175654.48326537,5200175.66630561,3975478.81695976 
 01/06  10:00:00,469970336.232466,60845904.9347669,0.0,173690957.559793,0.0,223397067.449903,12006021.9491793,30384.3388235294,7878703.4179647,0.0,7878703.4179647 
 01/06  11:00:00,459601371.373852,57412676.33989,0.0,173690957.559793,0.0,216461331.186166,12006021.9491793,30384.3388235294,7880387.59064836,0.0,7880387.59064836 
 01/06  12:00:00,467546507.77814,58286230.4518309,0.0,173690957.559793,0.0,223397067.449903,12141867.9777893,30384.3388235294,7882593.04065994,0.0,7882593.04065994 
 01/06  13:00:00,462618980.250129,55046247.537229,0.0,173690957.559793,0.0,221437412.824822,12413977.989461,30384.3388235294,11792280.0344535,0.0,11792280.0344535 
 01/06  14:00:00,445656571.877558,30027910.6929282,0.0,173690957.559793,0.0,229176847.669683,12730471.6163306,30384.3388235294,7884566.56372752,0.0,7884566.56372752 
 01/06  15:00:00,421513955.312979,18924591.9033905,0.0,173690957.559793,0.0,216461331.186166,12406690.3248058,30384.3388235294,7880456.36637114,0.0,7880456.36637114 
 01/06  16:00:00,421889561.713741,19400022.8715103,0.0,173690957.559793,0.0,216461331.186166,12306865.7574474,30384.3388235294,7878243.93485956,0.0,7878243.93485956 
 01/06  17:00:00,458847392.269171,45669590.4607802,0.0,173690957.559793,0.0,226864935.581771,12591524.3280037,30384.3388235294,7881482.37674997,0.0,7881482.37674997 
 01/06  18:00:00,515308695.306294,87997358.2804045,0.0,135092966.99095,53294400.,226061237.000646,12832348.6954692,30384.3388235294,3974306.90337562,0.0,3974306.90337562 
 01/06  19:00:00,414160539.656852,122669312.71274,0.0,96494976.4221072,53294400.,129665444.234001,12006021.9491793,30384.3388235294,7874931.3177882,0.0,7874931.3177882 
 01/06  20:00:00,416288658.75716,134045080.164697,0.0,96494976.4221072,53294400.,120417795.882353,12006021.9491793,30384.3388235294,72000.,0.0,72000. 
 01/06  21:00:00,383675912.395472,159329319.656273,0.0,57896985.8532643,53294400.,101118800.597931,12006021.9491793,30384.3388235294,3972511.48718237,0.0,3972511.48718237 
 01/06  22:00:00,387839465.559735,168116696.99636,0.0,57896985.8532643,53294400.,96494976.4221072,12006021.9491793,30384.3388235294,3971824.63408499,0.0,3971824.63408499 
 01/06  23:00:00,149819760.760931,0.0,0.0,19298995.2844214,53294400.,77195981.1376857,0.0,30384.3388235294,72000.,0.0,72000. 
 01/06  24:00:00,140170263.11872,0.0,0.0,9649497.64221072,53294400.,77195981.1376857,0.0,30384.3388235294,3970772.93360247,0.0,3970772.93360247 
 01/07  01:00:00,120871267.834299,0.0,0.0,9649497.64221072,53294400.,57896985.8532643,0.0,30384.3388235294,72000.,0.0,72000. 
 01/07  02:00:00,120871267.834299,0.0,0.0,9649497.64221072,53294400.,57896985.8532643,0.0,30384.3388235294,3970767.00358514,0.0,3970767.00358514 
 01/07  03:00:00,120871267.834299,0.0,0.0,9649497.64221072,53294400.,57896985.8532643,0.0,30384.3388235294,72000.,0.0,72000. 
 01/07  04:00:00,120871267.834299,0.0,0.0,9649497.64221072,53294400.,57896985.8532643,0.0,30384.3388235294,3970773.15114737,0.0,3970773.15114737 
 01/07  05:00:00,120871267.834299,0.0,0.0,9649497.64221072,53294400.,57896985.8532643,0.0,30384.3388235294,72000.,0.0,72000. 
 01/07  06:00:00,120871267.834299,0.0,0.0,9649497.64221072,53294400.,57896985.8532643,0.0,30384.3388235294,3971193.19513162,0.0,3971193.19513162 
 01/07  07:00:00,461965560.741674,300139778.031564,0.0,19298995.2844214,53294400.,77195981.1376857,12006021.9491793,30384.3388235294,72000.,0.0,72000. 
 01/07  08:00:00,405603633.529805,251929754.116398,0.0,19298995.2844214,26647200.,95691277.8409825,12006021.9491793,30384.3388235294,3971710.42715432,0.0,3971710.42715432 
 01/07  09:00:00,416682373.275562,195472629.52796,0.0,96494976.4221072,0.0,112678361.037492,12006021.9491793,30384.3388235294,3972135.05752206,0.0,3972135.05752206 
 01/07  10:00:00,396650373.70372,167348937.648426,0.0,96494976.4221072,0.0,120770053.345184,12006021.9491793,30384.3388235294,3973023.96250006,0.0,3973023.96250006 
 01/07  11:00:00,375167170.772645,149333602.849219,0.0,96494976.4221072,0.0,117302185.213316,12006021.9491793,30384.3388235294,3972958.38890783,0.0,3972958.38890783 
 01/07  12:00:00,400653446.472371,166728186.241252,0.0,96494976.4221072,0.0,125393877.521008,12006021.9491793,30384.3388235294,3973380.69023183,0.0,3973380.69023183 
 01/07  13:00:00,370433293.717822,141131857.662528,0.0,96494976.4221072,0.0,120770053.345184,12006021.9491793,30384.3388235294,3972965.41470063,0.0,3972965.41470063 
 01/07  14:00:00,314120735.3034,94066947.5997537,0.0,96494976.4221072,0.0,111522404.993536,12006021.9491793,30384.3388235294,3973003.38770568,0.0,3973003.38770568 
